                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2641,                 2.2654,                 1.3054,                0.66429,                0.61021,                0.65036,                0.41844,                 1.1972,                 1.4207,                 1.2483,               0.070029,              0.0033301,              0.0033301
                      2,                 1.2416,                 1.5289,                 1.3032,                0.64645,                0.53869,                0.59372,                0.36373,                 1.3274,                 1.5712,                 1.3377,               0.040007,              0.0066415,              0.0066415
                      3,                 1.3167,                 1.5776,                 1.3533,                0.59964,                0.49231,                 0.5272,                   0.31,                  1.466,                 1.7081,                 1.4749,              0.0099631,              0.0099308,              0.0099308
                      4,                 1.3156,                 1.5173,                 1.3612,                0.69893,                0.61058,                 0.6783,                0.42785,                 1.2908,                 1.2874,                 1.3199,               0.009901,               0.009901,               0.009901
                      5,                 1.2589,                 1.3574,                 1.3265,                0.76524,                 0.6868,                0.75974,                 0.4996,                 1.2229,                 1.0485,                 1.2758,               0.009868,               0.009868,               0.009868
                      6,                 1.2279,                 1.2671,                 1.3084,                0.80401,                 0.7427,                0.81402,                0.54195,                 1.1833,                0.91441,                 1.2418,               0.009835,               0.009835,               0.009835
                      7,                 1.2037,                 1.2126,                 1.2928,                0.83474,                 0.7665,                0.84252,                0.56895,                 1.1438,                0.81188,                 1.2111,               0.009802,               0.009802,               0.009802
                      8,                 1.1898,                 1.1693,                 1.2821,                0.84092,                 0.7827,                0.85356,                0.58409,                 1.1215,                0.77457,                 1.1954,               0.009769,               0.009769,               0.009769
                      9,                 1.1802,                 1.1433,                  1.277,                0.85519,                0.79834,                0.86747,                0.59731,                 1.1002,                0.73251,                 1.1832,               0.009736,               0.009736,               0.009736
                     10,                 1.1705,                 1.1156,                 1.2686,                0.85127,                0.81125,                0.87277,                0.60771,                  1.086,                0.71052,                 1.1735,               0.009703,               0.009703,               0.009703
                     11,                 1.1589,                 1.0932,                 1.2636,                0.86056,                0.81113,                0.87703,                0.61261,                 1.0778,                0.69758,                 1.1677,                0.00967,                0.00967,                0.00967
                     12,                 1.1515,                 1.0781,                 1.2561,                0.86649,                0.82172,                0.88301,                0.61837,                 1.0708,                0.67693,                 1.1601,               0.009637,               0.009637,               0.009637
                     13,                 1.1462,                 1.0643,                 1.2552,                 0.8657,                0.82701,                0.88503,                0.62167,                 1.0669,                0.66497,                 1.1595,               0.009604,               0.009604,               0.009604
                     14,                 1.1426,                 1.0516,                  1.251,                0.86744,                0.82917,                0.88717,                0.62503,                 1.0609,                0.65401,                 1.1545,               0.009571,               0.009571,               0.009571
                     15,                 1.1438,                 1.0444,                 1.2513,                 0.8684,                0.83294,                0.88918,                0.62662,                  1.059,                0.65097,                 1.1533,               0.009538,               0.009538,               0.009538
                     16,                 1.1346,                 1.0349,                 1.2486,                0.87004,                0.83284,                0.89015,                0.62829,                 1.0555,                0.64564,                  1.152,               0.009505,               0.009505,               0.009505
                     17,                 1.1309,                 1.0269,                 1.2456,                0.87075,                0.83552,                0.89101,                0.63021,                 1.0529,                0.64125,                 1.1499,               0.009472,               0.009472,               0.009472
                     18,                  1.131,                  1.017,                 1.2451,                0.87091,                0.83657,                0.89142,                0.63113,                 1.0519,                0.63788,                  1.149,               0.009439,               0.009439,               0.009439
                     19,                 1.1287,                 1.0119,                 1.2443,                0.87081,                 0.8361,                0.89157,                 0.6319,                 1.0506,                0.63571,                  1.148,               0.009406,               0.009406,               0.009406
                     20,                 1.1248,                 1.0054,                 1.2395,                0.86981,                0.83832,                0.89241,                0.63281,                 1.0493,                0.63382,                 1.1471,               0.009373,               0.009373,               0.009373
                     21,                 1.1268,                 1.0035,                 1.2398,                0.87062,                0.83839,                 0.8925,                0.63341,                 1.0478,                0.63224,                 1.1458,                0.00934,                0.00934,                0.00934
                     22,                 1.1229,                0.99596,                 1.2376,                0.87063,                0.84058,                0.89295,                0.63388,                 1.0468,                0.63044,                 1.1448,               0.009307,               0.009307,               0.009307
                     23,                 1.1213,                0.99376,                 1.2381,                 0.8722,                0.84016,                0.89376,                0.63459,                 1.0456,                0.62785,                 1.1439,               0.009274,               0.009274,               0.009274
                     24,                 1.1162,                 0.9877,                 1.2342,                0.87275,                0.84174,                0.89414,                0.63533,                 1.0443,                 0.6256,                 1.1429,               0.009241,               0.009241,               0.009241
                     25,                 1.1163,                0.98498,                 1.2336,                0.87353,                0.84189,                0.89438,                0.63585,                 1.0435,                0.62315,                 1.1422,               0.009208,               0.009208,               0.009208
                     26,                 1.1135,                0.97516,                 1.2319,                 0.8737,                0.84248,                0.89457,                0.63604,                 1.0431,                0.62105,                 1.1416,               0.009175,               0.009175,               0.009175
                     27,                 1.1131,                0.97487,                 1.2303,                0.87634,                0.84203,                0.89511,                0.63651,                 1.0426,                0.61878,                 1.1411,               0.009142,               0.009142,               0.009142
                     28,                 1.1118,                 0.9733,                 1.2301,                0.87779,                0.84277,                0.89567,                0.63697,                  1.042,                0.61763,                 1.1403,               0.009109,               0.009109,               0.009109
                     29,                 1.1108,                0.96974,                 1.2315,                0.87646,                0.84391,                0.89578,                0.63755,                 1.0414,                 0.6161,                 1.1397,               0.009076,               0.009076,               0.009076
                     30,                 1.1095,                0.96298,                 1.2284,                0.87595,                0.84532,                0.89631,                0.63832,                 1.0408,                0.61468,                  1.139,               0.009043,               0.009043,               0.009043
                     31,                 1.1096,                0.96124,                 1.2279,                0.87567,                0.84528,                0.89645,                0.63882,                 1.0404,                0.61293,                 1.1386,                0.00901,                0.00901,                0.00901
                     32,                 1.1056,                0.96013,                 1.2285,                0.87492,                0.84741,                0.89679,                0.63941,                 1.0392,                0.61142,                  1.138,               0.008977,               0.008977,               0.008977
                     33,                 1.1025,                0.95229,                 1.2266,                0.87541,                0.84864,                0.89701,                0.64006,                 1.0389,                0.60933,                 1.1379,               0.008944,               0.008944,               0.008944
                     34,                 1.1049,                0.95538,                 1.2266,                0.87796,                0.84736,                0.89746,                0.64052,                 1.0385,                0.60788,                 1.1375,               0.008911,               0.008911,               0.008911
                     35,                 1.1057,                0.95469,                 1.2264,                0.88005,                0.84648,                0.89773,                0.64093,                 1.0374,                0.60649,                 1.1372,               0.008878,               0.008878,               0.008878
                     36,                 1.1078,                0.95323,                 1.2267,                0.87927,                0.84731,                0.89811,                0.64164,                 1.0365,                0.60499,                 1.1364,               0.008845,               0.008845,               0.008845
                     37,                 1.1028,                0.94548,                 1.2235,                0.87769,                0.84958,                0.89838,                0.64207,                 1.0358,                0.60363,                 1.1359,               0.008812,               0.008812,               0.008812
                     38,                 1.1006,                0.94535,                 1.2219,                0.87762,                0.84953,                0.89831,                0.64214,                 1.0354,                0.60242,                 1.1351,               0.008779,               0.008779,               0.008779
                     39,                 1.1041,                0.95049,                 1.2257,                0.87802,                 0.8502,                 0.8986,                0.64263,                 1.0348,                0.60129,                 1.1345,               0.008746,               0.008746,               0.008746
                     40,                 1.1022,                0.94515,                 1.2239,                  0.878,                0.85001,                0.89913,                0.64337,                  1.034,                0.60022,                 1.1339,               0.008713,               0.008713,               0.008713
                     41,                 1.1026,                0.94209,                 1.2219,                0.87889,                0.85036,                0.89941,                0.64364,                 1.0333,                0.59903,                 1.1331,                0.00868,                0.00868,                0.00868
                     42,                 1.1024,                0.93713,                 1.2248,                0.87776,                0.85213,                0.89966,                0.64437,                 1.0326,                0.59799,                 1.1326,               0.008647,               0.008647,               0.008647
                     43,                 1.0979,                0.93804,                 1.2214,                0.87784,                 0.8531,                0.89975,                0.64455,                 1.0321,                0.59682,                 1.1322,               0.008614,               0.008614,               0.008614
                     44,                 1.0997,                0.93752,                 1.2217,                0.87845,                0.85219,                0.89968,                0.64514,                 1.0315,                0.59616,                 1.1318,               0.008581,               0.008581,               0.008581
                     45,                    1.1,                0.93719,                 1.2232,                0.87806,                 0.8538,                0.89987,                0.64522,                  1.031,                0.59528,                 1.1313,               0.008548,               0.008548,               0.008548
                     46,                  1.097,                0.93665,                 1.2217,                0.87747,                0.85583,                 0.9003,                0.64548,                 1.0308,                0.59457,                 1.1311,               0.008515,               0.008515,               0.008515
                     47,                 1.0964,                0.93254,                 1.2208,                0.87934,                0.85478,                 0.9004,                 0.6456,                 1.0305,                0.59379,                 1.1307,               0.008482,               0.008482,               0.008482
                     48,                 1.0924,                0.93112,                 1.2194,                0.87768,                0.85652,                0.90075,                0.64587,                 1.0305,                0.59256,                 1.1306,               0.008449,               0.008449,               0.008449
                     49,                 1.0941,                0.92959,                 1.2187,                0.87769,                0.85756,                 0.9012,                 0.6462,                 1.0302,                0.59156,                 1.1301,               0.008416,               0.008416,               0.008416
                     50,                 1.0901,                0.92475,                 1.2175,                0.87596,                0.85891,                0.90089,                0.64645,                 1.0295,                0.59052,                 1.1296,               0.008383,               0.008383,               0.008383
                     51,                 1.0949,                0.92565,                 1.2163,                0.87523,                0.85992,                0.90116,                0.64703,                  1.029,                 0.5898,                  1.129,                0.00835,                0.00835,                0.00835
                     52,                 1.0951,                0.92525,                 1.2192,                0.87753,                0.85866,                0.90141,                0.64744,                  1.029,                0.58938,                 1.1289,               0.008317,               0.008317,               0.008317
                     53,                  1.091,                0.92223,                 1.2168,                0.87666,                 0.8587,                0.90149,                0.64781,                 1.0285,                0.58914,                 1.1283,               0.008284,               0.008284,               0.008284
                     54,                 1.0902,                0.91888,                 1.2138,                 0.8756,                0.85972,                0.90182,                0.64799,                 1.0281,                 0.5887,                 1.1278,               0.008251,               0.008251,               0.008251
                     55,                 1.0898,                0.91766,                 1.2164,                0.87758,                0.85815,                0.90212,                0.64822,                 1.0277,                0.58825,                 1.1276,               0.008218,               0.008218,               0.008218
                     56,                 1.0902,                0.91651,                 1.2153,                0.87663,                0.85831,                0.90205,                0.64848,                 1.0272,                0.58753,                 1.1273,               0.008185,               0.008185,               0.008185
                     57,                 1.0899,                0.91724,                 1.2132,                0.87743,                0.85797,                0.90203,                0.64864,                 1.0267,                0.58744,                 1.1267,               0.008152,               0.008152,               0.008152
                     58,                 1.0879,                0.91485,                 1.2125,                0.87852,                0.85846,                 0.9025,                0.64883,                 1.0262,                0.58684,                  1.126,               0.008119,               0.008119,               0.008119
                     59,                 1.0881,                 0.9162,                 1.2127,                0.88018,                0.85636,                0.90264,                0.64883,                 1.0257,                0.58577,                 1.1257,               0.008086,               0.008086,               0.008086
                     60,                 1.0874,                0.90945,                 1.2119,                0.88029,                0.85741,                0.90272,                0.64894,                 1.0255,                0.58548,                 1.1254,               0.008053,               0.008053,               0.008053
                     61,                 1.0895,                0.91438,                 1.2136,                0.88083,                0.85732,                0.90308,                0.64917,                 1.0255,                0.58511,                 1.1256,                0.00802,                0.00802,                0.00802
                     62,                 1.0871,                0.91173,                 1.2137,                0.88116,                0.85608,                  0.903,                0.64955,                 1.0252,                0.58474,                 1.1253,               0.007987,               0.007987,               0.007987
                     63,                  1.088,                 0.9129,                 1.2143,                0.87989,                0.85796,                0.90302,                0.64957,                 1.0245,                 0.5844,                 1.1248,               0.007954,               0.007954,               0.007954
                     64,                 1.0862,                 0.9064,                 1.2103,                0.87977,                0.85769,                0.90301,                0.64967,                 1.0246,                0.58392,                 1.1245,               0.007921,               0.007921,               0.007921
                     65,                 1.0876,                0.90645,                 1.2124,                0.87841,                0.85938,                0.90307,                0.64992,                 1.0247,                0.58324,                 1.1243,               0.007888,               0.007888,               0.007888
